yr,ComboNe,lowerCI,upperCI,LD_weight,temporal_weight
2009,1454.02616649723,722.965017686072,-129841.036037602,0.923266150962459,0.0767338490375413
2010,823.27716529316,359.537290385239,-2840.60940140225,0.711946908897092,0.288053091102908
2011,1758.66952582618,831.416098894705,-15256.9587065947,0.844701665578042,0.155298334421958
2012,1927.72253833687,907.321903797078,-15467.6734695223,0.874733709059396,0.125266290940604
2013,1076.97464883543,589.792800160492,6190.29338138351,0.816533954098348,0.183466045901652
2014,1520.08000725739,773.410365690511,43964.614752255,0.84781979760256,0.15218020239744
2015,1275.05309552339,698.990035785891,7250.2345499651,0.824124535097299,0.175875464902701
2016,1286.72959337851,686.619771294161,10212.6285727008,0.830619295250659,0.169380704749341
2017,784.125494220019,482.75690667101,2086.91496709293,0.790164450022727,0.209835549977273
2018,145.353778365087,116.666320050512,192.749600218634,0.664666364491236,0.335333635508764
2019,-3352.20044796807,3969.88206508896,-1178.52304130736,0.886276339289905,0.113723660710095
2020,170.067048334178,130.974742386304,242.423783123058,0.746329324274347,0.253670675725653
