yr1,yr2,gen1,gen2,t,H.mean.size,L,F,Fprime,Ne,lCIp,uCIp,lCIj,uCIj,Sprime
2010,2011,3,4,1,30.9,1483,0.02893,-0.00368,-135.7,-126.1,Inf,-471.7,Inf,30.6654400490647
2010,2012,3,5,2,30.6,1458,0.03111,-0.00186,-536.5,-498.3,Inf,826.1,Inf,30.3306035790112
2010,2013,3,6,3,30.5,1479,0.03093,-0.00209,-717.5,-666.7,Inf,1162.5,Inf,30.2846759539673
2010,2014,3,7,4,30.6,1457,0.03183,-0.00111,-1795.4,-1667.3,Inf,991.4,Inf,30.3582270795386
2010,2015,3,8,5,31.1,1481,0.03155,-0.00084,-2971.2,-2761.1,Inf,1154.9,Inf,30.8737264587836
2010,2016,3,9,6,30.7,1438,0.03327,0.00046,6546,6076.2,7033.1,862,Inf,30.4785126485828
2010,2017,3,10,7,31.2,1466,0.03184,-0.00052,-6767.4,-6286.2,Inf,1476.9,Inf,30.902348578492
2011,2012,4,5,1,47.6,1498,0.01913,-0.00201,-248.6,-231.2,Inf,-1995.1,Inf,47.3036896877956
2011,2013,4,6,2,47.5,1516,0.02177,0.00059,1697.4,1578.7,1820.3,358.2,Inf,47.2143531633617
2011,2014,4,7,3,47.6,1517,0.024,0.00287,523.5,486.9,561.4,287.5,2927,47.3260766682442
2011,2015,4,8,4,49,1534,0.01995,-0.00058,-3475.8,-3234.1,Inf,1554.9,Inf,48.7092060399415
2011,2016,4,9,5,48,1498,0.02138,0.00042,5995,5573.3,6431.9,1017.9,Inf,47.7099236641221
2011,2017,4,10,6,49,1516,0.02276,0.00225,1332.6,1239.4,1429.1,657.2,Inf,48.7567040468064
2011,2018,4,11,7,47.6,1547,0.03352,0.01237,282.9,263.3,303.2,202.5,469,47.2813238770686
2011,2019,4,12,8,47.8,1546,0.03412,0.01304,306.7,285.5,328.7,227,472.7,47.438330170778
2011,2020,4,13,9,44.1,1457,0.02519,0.0024,1877.3,1743.4,2016,934.1,Inf,43.8788942518648
2012,2013,5,6,1,46.7,1500,0.02257,0.00102,489.5,455.1,525.1,158.6,Inf,46.4037122969838
2012,2014,5,7,2,46.8,1509,0.02208,0.00059,1698.7,1579.6,1822,384.7,Inf,46.5332712889716
2012,2015,5,8,3,48.1,1514,0.0217,0.00082,1818.3,1691.1,1950.1,501.4,Inf,47.8927203065134
2012,2016,5,9,4,47.1,1455,0.02182,0.00048,4173.3,3875.5,4481.9,822.4,Inf,46.8603561387067
2012,2017,5,10,5,48.1,1515,0.02252,0.00164,1524.6,1418,1635.1,714.2,Inf,47.8927203065134
2012,2018,5,11,6,46.8,1493,0.03131,0.0098,306,284.4,328.3,204.7,605.9,46.4900046490005
2012,2019,5,12,7,47,1534,0.03366,0.01222,286.3,266.4,306.9,208.1,458.7,46.6417910447761
2012,2020,5,13,8,43.3,1443,0.02364,0.00042,9478.2,8799.1,10182.2,1714.5,Inf,43.0663221360896
