method,pcrit,yr1,yr2,gen1,gen2,t,H.mean.size,L,F,Fprime,Ne,lCIp,uCIp,lCIj,uCIj,Sprime
Pk,0.05,1995,1996,1,2,1,43.2,964,0.02352,0.00065,764.6,191.8,Inf,159.4,Inf,43.7254044599913
Pk,0.02,1995,1996,1,2,1,43.2,2258,0.0234,0.00058,866.1,294.7,Inf,245.6,Inf,43.8212094653812
JR,0.05,1995,1996,1,2,1,43.2,964,0.02369,0.00039,1276.2,1164.8,1392.6,176.4,Inf,42.9184549356223
JR,0.02,1995,1996,1,2,1,43.2,2258,0.02371,0.00045,1111.8,1047.9,1177.6,223.1,Inf,42.9922613929493
Pk,0.05,1995,1997,1,3,2,40.1,963,0.02757,0.00316,316.7,188.7,2822.4,157.9,2216.1,40.9668168783286
Pk,0.02,1995,1997,1,3,2,40.4,2209,0.02665,0.00239,417.6,284,2693.2,241.6,1238.9,41.2201154163232
JR,0.05,1995,1997,1,3,2,40.1,963,0.02581,0.00074,1355.1,1236.8,1478.8,281.9,Inf,39.8883127243718
JR,0.02,1995,1997,1,3,2,40.4,2209,0.02621,0.00128,782.3,736.8,829.1,297.9,Inf,40.1123144805455
Pk,0.05,1995,1998,1,4,3,43.9,946,0.0267,0.00411,364.7,230.4,893,214,924.4,44.2673749446658
Pk,0.02,1995,1998,1,4,3,43.9,2269,0.02527,0.00269,557.7,372.4,1386.2,351.8,1199.7,44.2869796279894
JR,0.05,1995,1998,1,4,3,43.9,946,0.02672,0.00381,393.2,358.5,429.4,224.5,1582.3,43.6490615451768
JR,0.02,1995,1998,1,4,3,43.9,2269,0.02618,0.00327,458.5,432.2,485.6,280.8,1249.8,43.6490615451768
Pk,0.05,1995,1999,1,5,4,38,971,0.02748,0.00157,1274.1,524.9,Inf,423.4,Inf,38.5951370127364
Pk,0.02,1995,1999,1,5,4,38.1,2221,0.02638,0.00056,3557,1124.5,Inf,870.5,Inf,38.7296669248644
JR,0.05,1995,1999,1,5,4,38,971,0.02711,0.00066,3044.2,2779.4,3320.9,563.6,Inf,37.8071833648393
JR,0.02,1995,1999,1,5,4,38.1,2221,0.02666,0.00027,7527.5,7091.2,7976.6,838.3,Inf,37.8931413414172
Pk,0.05,1996,1997,2,3,1,41.3,972,0.02319,-0.00102,-490.5,421.9,Inf,480.3,Inf,41.3052457662123
Pk,0.02,1996,1997,2,3,1,41.5,2222,0.02374,0.00012,4034.3,447.2,Inf,342.5,Inf,42.3370025402201
JR,0.05,1996,1997,2,3,1,41.3,972,0.02267,-0.0017,-294.5,-268.9,Inf,1309.6,Inf,41.0340582683627
JR,0.02,1996,1997,2,3,1,41.5,2222,0.02338,-0.00085,-589.7,-555.5,Inf,697.6,Inf,41.2711514651259
Pk,0.05,1996,1998,2,4,2,45.2,957,0.02207,7e-05,13916.8,480.4,Inf,443.8,Inf,45.4545454545455
Pk,0.02,1996,1998,2,4,2,45.2,2303,0.02215,0.00013,7685.8,739.1,Inf,687.4,Inf,45.4132606721163
JR,0.05,1996,1998,2,4,2,45.2,957,0.02263,4e-04,2526.1,2304.8,2757.4,347.9,Inf,44.9842555105713
JR,0.02,1996,1998,2,4,2,45.2,2303,0.02255,0.00028,3513.8,3313.7,3719.6,481.8,Inf,44.9034575662326
Pk,0.05,1996,1999,2,5,3,39.1,972,0.02478,-0.00073,-2042.6,976.9,Inf,962,Inf,39.2003136025088
Pk,0.02,1996,1999,2,5,3,39.2,2241,0.02423,-0.00117,-1280.3,8490,Inf,10473.5,Inf,39.3700787401575
JR,0.05,1996,1999,2,5,3,39.1,972,0.02595,0.00017,8660.2,7907.2,9446.9,501.6,Inf,38.7897595034911
JR,0.02,1996,1999,2,5,3,39.2,2241,0.0253,-4e-04,-3722,-3507.2,Inf,913.5,Inf,38.9105058365759
Pk,0.05,1997,1998,3,4,1,41.9,947,0.024,0.00043,1155.3,203,Inf,198.9,Inf,42.4268137462876
Pk,0.02,1997,1998,3,4,1,42.1,2206,0.02406,0.00059,847.7,281,Inf,263.3,Inf,42.6075841499787
JR,0.05,1997,1998,3,4,1,41.9,947,0.02356,-0.00044,-1140.9,-1040.4,Inf,289.3,Inf,41.6666666666667
JR,0.02,1997,1998,3,4,1,42.1,2206,0.02378,-0.00012,-4117.3,-3877.9,Inf,336.8,Inf,41.8410041841004
Pk,0.05,1997,1999,3,5,2,36.4,977,0.0278,0.00093,1074.3,334.2,Inf,283.5,Inf,37.2162262746558
Pk,0.02,1997,1999,3,5,2,36.8,2206,0.02672,-8e-04,-1243.5,832.5,Inf,898.9,Inf,36.3372093023256
JR,0.05,1997,1999,3,5,2,36.4,977,0.02815,0.00051,1944.9,1776.2,2121.1,310.7,Inf,36.1794500723589
JR,0.02,1997,1999,3,5,2,36.8,2206,0.02719,-0.00017,-6004.5,-5655.4,Inf,548.7,Inf,36.5497076023392
Pk,0.05,1998,1999,4,5,1,39.6,930,0.02562,0.00055,903.5,172.9,Inf,169.4,Inf,39.8883127243718
Pk,0.02,1998,1999,4,5,1,39.7,2221,0.0251,6e-05,8765.7,349.5,Inf,331.8,Inf,39.9361022364217
JR,0.05,1998,1999,4,5,1,39.6,930,0.02714,0.00176,283.7,258.5,310.1,104.6,Inf,39.4011032308905
JR,0.02,1998,1999,4,5,1,39.7,2221,0.02631,0.00093,538.5,507.3,570.6,162.1,Inf,39.4011032308905
