yr,Ne,lowerCI,upperCI,L,Sprime
1996,307.906800306429,184.649178722338,926.100272576152,2258,42.9922613929493
1997,1601.96080001922,517.253758893631,-1460.24399074931,2222,41.2711514651259
1998,-1794.01158931487,1420.10723312568,-549.754976073573,2206,41.8410041841004
1999,-52921.253175275,511.271312774868,-501.579805108938,2221,39.4011032308905
